7-DAY MEAN REVERSION ANALYSIS - ALL COINS COMBINED

Analysis Period,Last 7 days
Timeframe,15m
Initial Capital,$100 per coin
Leverage,10x
Entry,Mean Reversion (>2% drop in lower 30% of range)
SL,0.75 ATR
TP,3.0 ATR (4:1 R:R)

SUMMARY BY COIN
Coin,Trades,Wins,Losses,Timeouts,Win Rate,Final Capital,Total P&L,Return %
NEARUSDT,12,5,7,0,41.7%,$256.79,$156.79,156.8%
DOGEUSDT,6,5,1,0,83.3%,$353.90,$253.90,253.9%
ETHUSDT,6,4,2,0,66.7%,$246.11,$146.11,146.1%

MARKET REGIME ANALYSIS
BTC Trend,Trades,Wins,Losses,Win Rate
DOWNTREND,14,9,5,64.3%
SIDEWAYS,10,5,5,50.0%

ALL TRADES CHRONOLOGICAL
Coin,Trade #,Entry Time,Exit Time,Hold (min),Entry,SL,TP,Exit,Result,P&L,Capital After,BTC Trend,BTC 24h%
DOGEUSDT,1,2026-01-21 12:15:00,2026-01-21 14:00:00,105,0.1217,0.1212,0.1233,0.1233,WIN,$13.53,$113.53,DOWNTREND,-3.07%
NEARUSDT,2,2026-01-21 16:30:00,2026-01-21 16:45:00,15,1.5020,1.4897,1.5513,1.4897,LOSS,$-8.20,$91.80,DOWNTREND,-2.19%
DOGEUSDT,3,2026-01-21 16:30:00,2026-01-21 17:00:00,30,0.1212,0.1203,0.1249,0.1203,LOSS,$-8.64,$104.89,DOWNTREND,-2.19%
ETHUSDT,4,2026-01-21 16:30:00,2026-01-21 17:15:00,45,2887.3100,2866.0796,2972.2314,2866.0796,LOSS,$-7.35,$92.65,DOWNTREND,-2.19%
NEARUSDT,5,2026-01-21 16:45:00,2026-01-21 19:30:00,165,1.4940,1.4807,1.5474,1.5474,WIN,$32.78,$124.58,DOWNTREND,-2.85%
DOGEUSDT,6,2026-01-21 16:45:00,2026-01-21 19:15:00,150,0.1207,0.1197,0.1248,0.1248,WIN,$35.63,$140.52,DOWNTREND,-2.85%
ETHUSDT,7,2026-01-21 16:45:00,2026-01-21 17:00:00,15,2889.9400,2867.3184,2980.4264,2867.3184,LOSS,$-7.25,$85.39,DOWNTREND,-2.85%
NEARUSDT,8,2026-01-21 17:00:00,2026-01-21 19:30:00,150,1.4910,1.4770,1.5469,1.5469,WIN,$46.73,$171.31,DOWNTREND,-3.48%
DOGEUSDT,9,2026-01-21 17:00:00,2026-01-21 19:15:00,135,0.1205,0.1194,0.1249,0.1249,WIN,$51.03,$191.55,DOWNTREND,-3.48%
ETHUSDT,10,2026-01-21 17:00:00,2026-01-21 19:15:00,135,2871.6000,2847.3187,2968.7250,2968.7250,WIN,$28.88,$114.28,DOWNTREND,-3.48%
NEARUSDT,11,2026-01-21 17:15:00,2026-01-21 19:30:00,135,1.4940,1.4795,1.5519,1.5519,WIN,$66.34,$237.66,DOWNTREND,-2.69%
DOGEUSDT,12,2026-01-21 17:15:00,2026-01-21 19:30:00,135,0.1215,0.1204,0.1261,0.1261,WIN,$71.96,$263.51,DOWNTREND,-2.69%
ETHUSDT,13,2026-01-21 17:15:00,2026-01-21 19:30:00,135,2890.1000,2864.7639,2991.4443,2991.4443,WIN,$40.07,$154.35,DOWNTREND,-2.69%
NEARUSDT,14,2026-01-21 17:30:00,2026-01-21 19:30:00,120,1.4940,1.4808,1.5469,1.5469,WIN,$84.20,$321.85,SIDEWAYS,-1.97%
DOGEUSDT,15,2026-01-21 17:30:00,2026-01-21 19:30:00,120,0.1217,0.1206,0.1259,0.1259,WIN,$90.39,$353.90,SIDEWAYS,-1.97%
ETHUSDT,16,2026-01-21 17:30:00,2026-01-21 19:30:00,120,2896.4800,2872.4730,2992.5079,2992.5079,WIN,$51.17,$205.52,SIDEWAYS,-1.97%
NEARUSDT,17,2026-01-22 15:15:00,2026-01-22 17:45:00,150,1.4970,1.4892,1.5283,1.5283,WIN,$67.26,$389.11,SIDEWAYS,-1.51%
ETHUSDT,18,2026-01-22 15:15:00,2026-01-22 18:15:00,180,2910.1500,2895.7805,2967.6279,2967.6279,WIN,$40.59,$246.11,SIDEWAYS,-1.51%
NEARUSDT,19,2026-01-23 19:15:00,2026-01-23 20:30:00,75,1.5040,1.4929,1.5486,1.4929,LOSS,$-28.83,$360.29,SIDEWAYS,0.37%
NEARUSDT,20,2026-01-23 19:30:00,2026-01-23 20:30:00,60,1.5040,1.4929,1.5486,1.4929,LOSS,$-26.69,$333.59,SIDEWAYS,0.04%
NEARUSDT,21,2026-01-25 16:15:00,2026-01-25 18:00:00,105,1.4580,1.4499,1.4906,1.4499,LOSS,$-18.63,$314.96,SIDEWAYS,-1.36%
NEARUSDT,22,2026-01-25 16:30:00,2026-01-25 18:00:00,90,1.4540,1.4455,1.4879,1.4455,LOSS,$-18.34,$296.63,SIDEWAYS,-1.44%
NEARUSDT,23,2026-01-25 17:00:00,2026-01-25 18:00:00,60,1.4550,1.4461,1.4906,1.4461,LOSS,$-18.13,$278.50,SIDEWAYS,-1.70%
NEARUSDT,24,2026-01-25 19:15:00,2026-01-25 19:45:00,30,1.4230,1.4119,1.4674,1.4119,LOSS,$-21.70,$256.79,DOWNTREND,-3.17%
