DECEMBER 2025 FULL ANALYSIS - ALL COINS COMBINED

SETTINGS
Initial Capital,$100
Leverage,10x
Position Size,$1000 (based on current capital)
SL,0.75 ATR
TP,3 ATR (4:1 R:R)
Entry Condition,5c return < -2% AND position in range < 30%
Period,December 1-31 2025

SUMMARY
Total Signals Found,160
Actual Trades Taken,49
Signals Missed (blocked),111
Wins,7
Losses,40
Timeouts,2
Win Rate,14.3%
Initial Capital,$100
Final Capital,$47.73
Total P&L,$-52.27
Return,-52.3%

SIGNALS BY COIN
DOGEUSDT,Signals:44,Traded:29,Missed:15
NEARUSDT,Signals:72,Traded:18,Missed:54
ETHUSDT,Signals:44,Traded:2,Missed:42

ALL SIGNALS CHRONOLOGICAL (Traded + Missed)
Signal #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,5c Return %,Pos in Range %,Result,Was Traded?,Blocked By,Position Size,P&L,Capital After,Hypothetical P&L
1,DOGEUSDT,2025-12-01 15:30:00,2025-12-01 22:00:00,$0.132390,$0.135431,-2.17%,-36.8%,WIN,YES,,$1000.00,$22.97,$122.97,
2,ETHUSDT,2025-12-01 15:30:00,2025-12-01 21:15:00,$2725.970000,$2791.241429,-3.30%,-54.3%,WIN,NO,DOGEUSDT,(blocked),(blocked),$122.97,$29.44
3,ETHUSDT,2025-12-01 15:45:00,2025-12-01 16:00:00,$2745.010000,$2727.243571,-2.35%,23.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$122.97,$-7.96
4,ETHUSDT,2025-12-01 16:00:00,2025-12-01 22:00:00,$2725.260000,$2798.997857,-3.25%,6.4%,WIN,NO,DOGEUSDT,(blocked),(blocked),$122.97,$33.27
5,ETHUSDT,2025-12-01 16:15:00,2025-12-01 22:00:00,$2733.770000,$2804.225000,-2.35%,13.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$122.97,$31.69
6,NEARUSDT,2025-12-04 19:00:00,2025-12-04 19:15:00,$1.766000,$1.755446,-2.21%,-55.0%,LOSS,YES,,$1229.68,$-7.35,$115.62,
7,ETHUSDT,2025-12-04 19:00:00,2025-12-04 19:15:00,$3088.530000,$3068.821071,-2.24%,-54.9%,LOSS,NO,NEARUSDT,(blocked),(blocked),$115.62,$-7.38
8,NEARUSDT,2025-12-04 19:15:00,2025-12-05 00:00:00,$1.766000,$1.811000,-2.05%,1.8%,WIN,YES,,$1156.19,$29.46,$145.08,
9,NEARUSDT,2025-12-05 09:15:00,2025-12-05 09:30:00,$1.747000,$1.739661,-2.13%,-40.0%,LOSS,YES,,$1450.81,$-6.09,$138.99,
10,NEARUSDT,2025-12-05 09:30:00,2025-12-05 09:45:00,$1.739000,$1.731286,-2.36%,-14.0%,LOSS,YES,,$1389.86,$-6.17,$132.82,
11,NEARUSDT,2025-12-05 09:45:00,2025-12-05 11:30:00,$1.734000,$1.725911,-2.20%,3.3%,LOSS,YES,,$1328.20,$-6.20,$126.62,
12,DOGEUSDT,2025-12-05 16:15:00,2025-12-05 16:30:00,$0.140640,$0.139811,-2.10%,5.3%,LOSS,YES,,$1266.24,$-7.46,$119.16,
13,ETHUSDT,2025-12-05 16:15:00,2025-12-05 16:30:00,$3060.150000,$3038.329821,-2.54%,8.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$119.16,$-8.50
14,DOGEUSDT,2025-12-05 16:30:00,2025-12-05 19:00:00,$0.138210,$0.137257,-3.60%,-49.5%,LOSS,YES,,$1191.62,$-8.22,$110.95,
15,NEARUSDT,2025-12-05 16:30:00,2025-12-05 16:45:00,$1.675000,$1.658179,-3.18%,-20.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$110.95,$-11.14
16,ETHUSDT,2025-12-05 16:30:00,2025-12-05 19:00:00,$3014.190000,$2990.263393,-3.94%,-26.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$110.95,$-8.81
17,DOGEUSDT,2025-12-05 16:45:00,2025-12-05 18:30:00,$0.138710,$0.137691,-3.14%,17.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$110.95,$-8.15
18,NEARUSDT,2025-12-05 16:45:00,2025-12-06 05:15:00,$1.672000,$1.673000,-3.18%,8.5%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$110.95,$0.66
