MEAN REVERSION 7-DAY ANALYSIS - EVERY TRADE TAKEN
Symbol,DOGEUSDT
Timeframe,15m
Data Period,2026-01-20 18:00:00 to 2026-01-27 17:45:00
Initial Capital,$100
Leverage,10x
Position Size,$1000
SL Multiplier,0.75 ATR
TP Multiplier,3 ATR (4:1 R:R)
Entry Condition,Price dropped >2% in 5 candles AND in lower 30% of range
Total Trades,6
Wins,5
Losses,1
Timeouts,0
Win Rate,83.3%
Final Capital,$353.90
Total P&L,$253.90
Return,253.9%

PERFORMANCE BY BTC TREND
BTC Downtrend,Trades:5 Wins:4 WinRate:80.0%
BTC Sideways,Trades:1 Wins:1 WinRate:100.0%

Trade #,Entry Date/Time,Exit Date/Time,Hold Time (min),Entry Price,SL,TP,Exit Price,ATR,ATR%,5-Candle Return%,Position in Range%,Result,P&L ($),Capital Before,Capital After,BTC Trend,BTC 24h%,BTC 4h%,BTC Price
1,2026-01-21 12:15:00,2026-01-21 14:00:00,105,0.121660,0.121249,0.123306,0.123306,0.000549,0.45%,-2.05%,0.9%,WIN,$13.53,$100.00,$113.53,DOWNTREND,-3.07%,-1.00%,$88317.10
2,2026-01-21 16:30:00,2026-01-21 17:00:00,30,0.121240,0.120318,0.124930,0.120318,0.001230,1.01%,-3.39%,-29.5%,LOSS,$-8.64,$113.53,$104.89,DOWNTREND,-2.19%,-0.52%,$88119.70
3,2026-01-21 16:45:00,2026-01-21 19:15:00,150,0.120680,0.119655,0.124779,0.124779,0.001366,1.13%,-4.05%,-9.0%,WIN,$35.63,$104.89,$140.52,DOWNTREND,-2.85%,-1.27%,$87562.30
4,2026-01-21 17:00:00,2026-01-21 19:15:00,135,0.120490,0.119396,0.124866,0.124866,0.001459,1.21%,-4.61%,2.4%,WIN,$51.03,$140.52,$191.55,DOWNTREND,-3.48%,-1.82%,$87279.40
5,2026-01-21 17:15:00,2026-01-21 19:30:00,135,0.121500,0.120359,0.126064,0.126064,0.001521,1.25%,-3.11%,18.9%,WIN,$71.96,$191.55,$263.51,DOWNTREND,-2.69%,-1.20%,$87741.00
6,2026-01-21 17:30:00,2026-01-21 19:30:00,120,0.121690,0.120646,0.125864,0.125864,0.001391,1.14%,-2.41%,23.0%,WIN,$90.39,$263.51,$353.90,SIDEWAYS,-1.97%,-0.88%,$87883.90
