DOGE 5M BACKTEST - Mean Reversion 0.5%
Period,Dec 1 2025 - Jan 28 2026
Strategy,Mean Reversion 0.5% drop in 5 candles + lower 20% of range
Settings,SL=0.75 ATR TP=2.25 ATR (3:1 R:R)
Starting Capital,$100
Leverage,10x

Trade,Entry Time,Exit Time,Entry Price,Exit Price,Stop Loss,Take Profit,Result,P&L %,P&L $,Capital Before,Capital After,Candles Held
1,2025-12-01T02:09:59.999Z,2025-12-01T02:39:59.999Z,0.13897,0.13846857142857144,0.13846857142857144,0.14047428571428575,LOSS,-3.61,-3.61,100.00,96.39,6
2,2025-12-01T03:09:59.999Z,2025-12-01T03:34:59.999Z,0.13775,0.1373375,0.1373375,0.1389875,LOSS,-2.99,-2.89,96.39,93.51,5
3,2025-12-01T03:39:59.999Z,2025-12-01T04:59:59.999Z,0.13717,0.1367805357142857,0.1367805357142857,0.13833839285714286,LOSS,-2.84,-2.65,93.51,90.85,16
4,2025-12-01T09:14:59.999Z,2025-12-01T09:19:59.999Z,0.13745,0.1371923214285714,0.1371923214285714,0.1382230357142857,LOSS,-1.87,-1.70,90.85,89.15,1
5,2025-12-01T09:24:59.999Z,2025-12-01T11:09:59.999Z,0.1372,0.1369680357142857,0.1369680357142857,0.13789589285714285,LOSS,-1.69,-1.51,89.15,87.64,21
6,2025-12-01T12:44:59.999Z,2025-12-01T12:49:59.999Z,0.13577,0.13552892857142856,0.13552892857142856,0.1364932142857143,LOSS,-1.78,-1.56,87.64,86.08,1
7,2025-12-01T15:04:59.999Z,2025-12-01T15:14:59.999Z,0.13483,0.13444267857142858,0.13444267857142858,0.1359919642857143,LOSS,-2.87,-2.47,86.08,83.61,2
8,2025-12-01T15:24:59.999Z,2025-12-01T15:29:59.999Z,0.13428,0.1338589285714286,0.1338589285714286,0.1355432142857143,LOSS,-3.14,-2.62,83.61,80.99,1
9,2025-12-01T15:34:59.999Z,2025-12-01T15:54:59.999Z,0.13238,0.1339742857142857,0.13184857142857143,0.1339742857142857,WIN,12.04,9.75,80.99,90.74,4
10,2025-12-01T17:34:59.999Z,2025-12-01T18:14:59.999Z,0.13216,0.1334810714285714,0.13171964285714285,0.1334810714285714,WIN,10.00,9.07,90.74,99.81,8
11,2025-12-01T23:54:59.999Z,2025-12-02T00:24:59.999Z,0.13554,0.13526892857142855,0.13526892857142855,0.13635321428571429,LOSS,-2.00,-2.00,99.81,97.82,6
12,2025-12-02T08:29:59.999Z,2025-12-02T08:34:59.999Z,0.13472,0.13454964285714285,0.13454964285714285,0.13523107142857144,LOSS,-1.26,-1.24,97.82,96.58,1
13,2025-12-02T20:39:59.999Z,2025-12-02T21:04:59.999Z,0.14479,0.14576553571428572,0.14446482142857142,0.14576553571428572,WIN,6.74,6.51,96.58,103.09,5
14,2025-12-02T23:44:59.999Z,2025-12-02T23:54:59.999Z,0.1462,0.1459632142857143,0.1459632142857143,0.14691035714285713,LOSS,-1.62,-1.67,103.09,101.42,2
15,2025-12-03T00:04:59.999Z,2025-12-03T00:34:59.999Z,0.14546,0.14521089285714286,0.14521089285714286,0.14620732142857143,LOSS,-1.71,-1.74,101.42,99.68,6
16,2025-12-03T14:04:59.999Z,2025-12-03T14:09:59.999Z,0.14677,0.14789500000000003,0.146395,0.14789500000000003,WIN,7.67,7.64,99.68,107.32,1
17,2025-12-04T00:14:59.999Z,2025-12-04T00:34:59.999Z,0.15108,0.15082982142857143,0.15082982142857143,0.15183053571428573,LOSS,-1.66,-1.78,107.32,105.54,4
18,2025-12-04T01:59:59.999Z,2025-12-04T02:19:59.999Z,0.15117,0.15229178571428573,0.15079607142857143,0.15229178571428573,WIN,7.42,7.83,105.54,113.38,4
19,2025-12-04T03:34:59.999Z,2025-12-04T04:24:59.999Z,0.15108,0.15082660714285714,0.15082660714285714,0.15184017857142856,LOSS,-1.68,-1.90,113.38,111.48,10
