DOGEUSDT 15m - EVERY CANDLE ANALYZED (Last 7 Days)
Entry Condition: 5-candle return < -2% AND position in range < 30%

Candle #,Date/Time,Open,High,Low,Close,5c Return %,10c High,10c Low,Position in Range %,Drop OK?,Position OK?,SIGNAL?
10,2026-01-20 20:45:00,0.123970,0.124330,0.123850,0.124130,0.26%,0.124420,0.123260,75.0%,NO,NO,
11,2026-01-20 21:00:00,0.124140,0.124260,0.123940,0.124020,0.11%,0.124420,0.123260,65.5%,NO,NO,
12,2026-01-20 21:15:00,0.124010,0.124030,0.123690,0.123790,0.18%,0.124420,0.123260,45.7%,NO,NO,
13,2026-01-20 21:30:00,0.123790,0.123830,0.123460,0.123780,-0.34%,0.124420,0.123260,44.8%,NO,NO,
14,2026-01-20 21:45:00,0.123790,0.123900,0.123590,0.123840,-0.10%,0.124420,0.123260,50.0%,NO,NO,
15,2026-01-20 22:00:00,0.123850,0.124190,0.123830,0.124090,-0.03%,0.124420,0.123260,71.6%,NO,NO,
16,2026-01-20 22:15:00,0.124100,0.124270,0.123730,0.123850,-0.14%,0.124420,0.123400,44.1%,NO,NO,
17,2026-01-20 22:30:00,0.123850,0.123980,0.121680,0.123820,0.02%,0.124420,0.123400,41.2%,NO,NO,
18,2026-01-20 22:45:00,0.123810,0.123950,0.123340,0.123600,-0.15%,0.124420,0.121680,70.1%,NO,NO,
19,2026-01-20 23:00:00,0.123590,0.123720,0.123160,0.123610,-0.19%,0.124330,0.121680,72.8%,NO,NO,
20,2026-01-20 23:15:00,0.123600,0.123720,0.123030,0.123250,-0.68%,0.124330,0.121680,59.2%,NO,NO,
21,2026-01-20 23:30:00,0.123260,0.123550,0.123250,0.123390,-0.37%,0.124270,0.121680,66.0%,NO,NO,
22,2026-01-20 23:45:00,0.123380,0.123500,0.123150,0.123290,-0.43%,0.124270,0.121680,62.2%,NO,NO,
23,2026-01-21 00:00:00,0.123290,0.123780,0.123240,0.123450,-0.12%,0.124270,0.121680,68.3%,NO,NO,
24,2026-01-21 00:15:00,0.123440,0.123780,0.123130,0.123770,0.13%,0.124270,0.121680,80.7%,NO,NO,
25,2026-01-21 00:30:00,0.123780,0.124580,0.123640,0.124300,0.85%,0.124270,0.121680,101.2%,NO,NO,
26,2026-01-21 00:45:00,0.124300,0.125180,0.124280,0.125080,1.37%,0.124580,0.121680,117.2%,NO,NO,
27,2026-01-21 01:00:00,0.125090,0.125810,0.125010,0.125450,1.75%,0.125180,0.121680,107.7%,NO,NO,
