MEAN REVERSION 7-DAY ANALYSIS - EVERY TRADE TAKEN
Symbol,ETHUSDT
Timeframe,15m
Data Period,2026-01-20 18:00:00 to 2026-01-27 17:45:00
Initial Capital,$100
Leverage,10x
Position Size,$1000
SL Multiplier,0.75 ATR
TP Multiplier,3 ATR (4:1 R:R)
Entry Condition,Price dropped >2% in 5 candles AND in lower 30% of range
Total Trades,6
Wins,4
Losses,2
Timeouts,0
Win Rate,66.7%
Final Capital,$246.11
Total P&L,$146.11
Return,146.1%

PERFORMANCE BY BTC TREND
BTC Downtrend,Trades:4 Wins:2 WinRate:50.0%
BTC Sideways,Trades:2 Wins:2 WinRate:100.0%

Trade #,Entry Date/Time,Exit Date/Time,Hold Time (min),Entry Price,SL,TP,Exit Price,ATR,ATR%,5-Candle Return%,Position in Range%,Result,P&L ($),Capital Before,Capital After,BTC Trend,BTC 24h%,BTC 4h%,BTC Price
1,2026-01-21 16:30:00,2026-01-21 17:15:00,45,2887.310000,2866.079643,2972.231429,2866.079643,28.307143,0.98%,-3.45%,-34.7%,LOSS,$-7.35,$100.00,$92.65,DOWNTREND,-2.19%,-0.52%,$88119.70
2,2026-01-21 16:45:00,2026-01-21 17:00:00,15,2889.940000,2867.318393,2980.426429,2867.318393,30.162143,1.04%,-3.37%,2.8%,LOSS,$-7.25,$92.65,$85.39,DOWNTREND,-2.85%,-1.27%,$87562.30
3,2026-01-21 17:00:00,2026-01-21 19:15:00,135,2871.600000,2847.318750,2968.725000,2968.725000,32.375000,1.13%,-4.32%,-8.7%,WIN,$28.88,$85.39,$114.28,DOWNTREND,-3.48%,-1.82%,$87279.40
4,2026-01-21 17:15:00,2026-01-21 19:30:00,135,2890.100000,2864.763929,2991.444286,2991.444286,33.781429,1.17%,-3.05%,14.9%,WIN,$40.07,$114.28,$154.35,DOWNTREND,-2.69%,-1.20%,$87741.00
5,2026-01-21 17:30:00,2026-01-21 19:30:00,120,2896.480000,2872.473036,2992.507857,2992.507857,32.009286,1.11%,-2.16%,19.9%,WIN,$51.17,$154.35,$205.52,SIDEWAYS,-1.97%,-0.88%,$87883.90
6,2026-01-22 15:15:00,2026-01-22 18:15:00,180,2910.150000,2895.780536,2967.627857,2967.627857,19.159286,0.66%,-2.32%,-30.8%,WIN,$40.59,$205.52,$246.11,SIDEWAYS,-1.51%,-1.43%,$88626.00
