JANUARY 2026 FULL ANALYSIS - ALL COINS COMBINED

SETTINGS
Initial Capital,$100
Leverage,10x
Position Size,$1000 (based on current capital)
SL,0.75 ATR
TP,3 ATR (4:1 R:R)
Entry Condition,5c return < -2% AND position in range < 30%
Period,January 1-27 2026

SUMMARY
Total Signals Found,91
Actual Trades Taken,40
Signals Missed (blocked),51
Wins,9
Losses,28
Timeouts,3
Win Rate,22.5%
Initial Capital,$100
Final Capital,$146.93
Total P&L,$46.93
Return,46.9%

SIGNALS BY COIN
DOGEUSDT,Signals:32,Traded:22,Missed:10
NEARUSDT,Signals:47,Traded:18,Missed:29
ETHUSDT,Signals:12,Traded:0,Missed:12

ALL SIGNALS CHRONOLOGICAL (Traded + Missed)
Signal #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,5c Return %,Pos in Range %,Result,Was Traded?,Blocked By,Position Size,P&L,Capital After,Hypothetical P&L
1,DOGEUSDT,2026-01-02 11:45:00,2026-01-02 14:30:00,$0.129410,$0.133214,-2.41%,12.5%,WIN,YES,,$1000.00,$29.39,$129.39,
2,DOGEUSDT,2026-01-02 12:00:00,2026-01-02 14:30:00,$0.129570,$0.133359,-2.56%,17.1%,WIN,NO,DOGEUSDT,(blocked),(blocked),$129.39,$37.83
3,DOGEUSDT,2026-01-02 12:15:00,2026-01-02 14:30:00,$0.129890,$0.133704,-2.06%,22.1%,WIN,NO,DOGEUSDT,(blocked),(blocked),$129.39,$38.00
4,DOGEUSDT,2026-01-03 07:15:00,2026-01-03 09:45:00,$0.139640,$0.142477,-2.85%,-46.2%,WIN,YES,,$1293.92,$26.29,$155.68,
5,NEARUSDT,2026-01-03 07:15:00,2026-01-03 12:45:00,$1.662000,$1.695857,-2.86%,-33.3%,WIN,NO,DOGEUSDT,(blocked),(blocked),$155.68,$31.71
6,DOGEUSDT,2026-01-03 07:30:00,2026-01-03 08:00:00,$0.140200,$0.139479,-2.11%,25.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$155.68,$-8.00
7,DOGEUSDT,2026-01-04 19:00:00,2026-01-05 01:30:00,$0.148920,$0.152194,-2.10%,-84.0%,WIN,YES,,$1556.81,$34.23,$189.91,
8,NEARUSDT,2026-01-05 09:15:00,2026-01-05 10:30:00,$1.720000,$1.709339,-2.05%,18.4%,LOSS,YES,,$1899.10,$-11.77,$178.14,
9,NEARUSDT,2026-01-05 17:15:00,2026-01-05 19:30:00,$1.727000,$1.780571,-2.10%,11.1%,WIN,YES,,$1781.39,$55.26,$233.40,
10,NEARUSDT,2026-01-06 07:45:00,2026-01-06 11:15:00,$1.756000,$1.791143,-2.17%,8.9%,WIN,YES,,$2333.98,$46.71,$280.11,
11,DOGEUSDT,2026-01-06 15:30:00,2026-01-06 15:45:00,$0.150430,$0.149340,-3.35%,-13.5%,LOSS,YES,,$2801.08,$-20.30,$259.81,
12,NEARUSDT,2026-01-06 15:30:00,2026-01-06 16:00:00,$1.791000,$1.778196,-2.45%,-48.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$259.81,$-18.57
13,DOGEUSDT,2026-01-06 15:45:00,2026-01-06 16:00:00,$0.149900,$0.148748,-2.33%,1.0%,LOSS,YES,,$2598.08,$-19.97,$239.84,
14,DOGEUSDT,2026-01-06 16:00:00,2026-01-06 16:15:00,$0.147390,$0.145847,-3.40%,-21.3%,LOSS,YES,,$2398.36,$-25.11,$214.72,
15,DOGEUSDT,2026-01-06 16:15:00,2026-01-06 16:45:00,$0.145790,$0.144201,-4.34%,23.9%,LOSS,YES,,$2147.22,$-23.41,$191.31,
16,NEARUSDT,2026-01-06 16:15:00,2026-01-06 16:30:00,$1.774000,$1.759964,-2.15%,4.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$191.31,$-15.14
