MEAN REVERSION BACKTEST RESULTS
Symbol,NEARUSDT
Timeframe,15m
Initial Capital,$100
Leverage,10x
Position Size,$1000
SL Multiplier,0.75 ATR
TP Multiplier,3 ATR (4:1 R:R)
Total Trades,16
Wins,5
Losses,10
Timeouts,1
Win Rate,31.3%
Final Capital,$224.58
Total P&L,$124.58
Return,124.6%

Trade #,Entry Date/Time,Exit Date/Time,Entry Price,SL Price,TP Price,Exit Price,ATR,ATR %,Risk %,Reward %,Position Size,Result,P&L ($),Capital Before,Capital After
1,2026-01-18 23:15:00,2026-01-18 23:30:00,1.677000,1.668536,1.710857,1.668536,0.011286,0.67%,0.50%,2.02%,$1000.00,LOSS,$-5.05,$100.00,$94.95
2,2026-01-18 23:30:00,2026-01-18 23:45:00,1.670000,1.660732,1.707071,1.660732,0.012357,0.74%,0.55%,2.22%,$949.53,LOSS,$-5.27,$94.95,$89.68
3,2026-01-18 23:45:00,2026-01-19 00:00:00,1.627000,1.616071,1.670714,1.616071,0.014571,0.90%,0.67%,2.69%,$896.83,LOSS,$-6.02,$89.68,$83.66
4,2026-01-19 00:00:00,2026-01-19 12:30:00,1.542000,1.521643,1.623429,1.549000,0.027143,1.76%,1.32%,5.28%,$836.59,TIMEOUT,$3.80,$83.66,$87.46
5,2026-01-21 16:30:00,2026-01-21 16:45:00,1.502000,1.489679,1.551286,1.489679,0.016429,1.09%,0.82%,3.28%,$874.57,LOSS,$-7.17,$87.46,$80.28
6,2026-01-21 16:45:00,2026-01-21 19:30:00,1.494000,1.480661,1.547357,1.547357,0.017786,1.19%,0.89%,3.57%,$802.83,WIN,$28.67,$80.28,$108.95
7,2026-01-21 17:00:00,2026-01-21 19:30:00,1.491000,1.477018,1.546929,1.546929,0.018643,1.25%,0.94%,3.75%,$1089.55,WIN,$40.87,$108.95,$149.82
8,2026-01-21 17:15:00,2026-01-21 19:30:00,1.494000,1.479536,1.551857,1.551857,0.019286,1.29%,0.97%,3.87%,$1498.25,WIN,$58.02,$149.82,$207.85
9,2026-01-21 17:30:00,2026-01-21 19:30:00,1.494000,1.480768,1.546929,1.546929,0.017643,1.18%,0.89%,3.54%,$2078.46,WIN,$73.63,$207.85,$281.48
10,2026-01-22 15:15:00,2026-01-22 17:45:00,1.497000,1.489179,1.528286,1.528286,0.010429,0.70%,0.52%,2.09%,$2814.81,WIN,$58.83,$281.48,$340.31
11,2026-01-23 19:15:00,2026-01-23 20:30:00,1.504000,1.492857,1.548571,1.492857,0.014857,0.99%,0.74%,2.96%,$3403.07,LOSS,$-25.21,$340.31,$315.09
12,2026-01-23 19:30:00,2026-01-23 20:30:00,1.504000,1.492857,1.548571,1.492857,0.014857,0.99%,0.74%,2.96%,$3150.95,LOSS,$-23.34,$315.09,$291.75
13,2026-01-25 16:15:00,2026-01-25 18:00:00,1.458000,1.449857,1.490571,1.449857,0.010857,0.74%,0.56%,2.23%,$2917.50,LOSS,$-16.29,$291.75,$275.46
14,2026-01-25 16:30:00,2026-01-25 18:00:00,1.454000,1.445536,1.487857,1.445536,0.011286,0.78%,0.58%,2.33%,$2754.56,LOSS,$-16.04,$275.46,$259.42
15,2026-01-25 17:00:00,2026-01-25 18:00:00,1.455000,1.446107,1.490571,1.446107,0.011857,0.81%,0.61%,2.44%,$2594.21,LOSS,$-15.86,$259.42,$243.56
16,2026-01-25 19:15:00,2026-01-25 19:45:00,1.423000,1.411911,1.467357,1.411911,0.014786,1.04%,0.78%,3.12%,$2435.65,LOSS,$-18.98,$243.56,$224.58
