VOLUME IMBALANCE STRATEGY ON 10%+ DAYS
Period,Dec 1 2025 - Jan 28 2026
Day Filter,Daily range >= 10%
Reference Candle,Volume >= 3x of last 5
Entry,Price > Ref High AND Volume > Ref Volume
SL,1% below entry
TP,4% above entry
Trailing,At +2% SL->BE | At +3% SL->+1%

HIGH VOLATILITY DAYS (10%+ Range)
Symbol,Date,Range %,High,Low
DOGEUSDT,2025-12-01,11.1,0.14637,0.13177
DOGEUSDT,2025-12-19,10.8,0.13353,0.12056
DOGEUSDT,2026-01-02,15.1,0.14498,0.12592
DOGEUSDT,2026-01-13,10.8,0.15095,0.13626
NEARUSDT,2025-12-01,14.4,1.812,1.584
NEARUSDT,2025-12-02,13.0,1.835,1.624
NEARUSDT,2025-12-09,11.0,1.885,1.698
NEARUSDT,2025-12-15,10.6,1.647,1.489
NEARUSDT,2025-12-17,10.1,1.615,1.467
NEARUSDT,2025-12-18,12.8,1.6,1.419
NEARUSDT,2025-12-19,11.0,1.56,1.405
NEARUSDT,2026-01-13,13.2,1.894,1.673
NEARUSDT,2026-01-19,12.4,1.628,1.449
ETHUSDT,2025-12-01,10.4,2999.47,2716.04

TRADES
Trade,Symbol,Date,Ref Time,Entry Time,Ref High,Ref Volume,Vol Spike,Entry Price,Exit Price,Result,P&L %
1,DOGEUSDT,2025-12-01,2025-12-01T13:44:59.999Z,2025-12-01T14:04:59.999Z,0.1353,7710336,3.9x,0.13543529999999998,0.13408094699999998,LOSS,-1.00
2,DOGEUSDT,2025-12-01,2025-12-01T17:39:59.999Z,2025-12-01T20:09:59.999Z,0.13279,8328363,4.9x,0.13292278999999999,0.1382397016,WIN_FULL,4.00
3,DOGEUSDT,2025-12-19,2025-12-19T01:49:59.999Z,2025-12-19T01:59:59.999Z,0.12112,3444134,3.2x,0.12124112,0.1260907648,WIN_FULL,4.00
4,DOGEUSDT,2025-12-19,2025-12-19T03:04:59.999Z,2025-12-19T03:29:59.999Z,0.12298,6920786,3.3x,0.12310297999999999,0.1280270992,WIN_FULL,4.00
5,DOGEUSDT,2025-12-19,2025-12-19T06:54:59.999Z,2025-12-19T06:59:59.999Z,0.12604,3133577,3.0x,0.12616604,0.13121268160000002,WIN_FULL,4.00
6,DOGEUSDT,2025-12-19,2025-12-19T06:59:59.999Z,2025-12-19T07:04:59.999Z,0.12673,6691270,5.0x,0.12685673,0.1319309992,WIN_FULL,4.00
7,DOGEUSDT,2025-12-19,2025-12-19T07:04:59.999Z,2025-12-19T07:14:59.999Z,0.12749,7881395,3.1x,0.12761748999999997,0.13272218959999998,WIN_FULL,4.00
8,DOGEUSDT,2025-12-19,2025-12-19T10:54:59.999Z,2025-12-19T14:34:59.999Z,0.12826,4633996,5.0x,0.12838826,0.1296721426,WIN_LOCKED,1.00
9,DOGEUSDT,2025-12-19,2025-12-19T14:19:59.999Z,2025-12-19T14:44:59.999Z,0.12925,4437805,3.9x,0.12937925,0.12937925,BREAKEVEN,0.00
10,DOGEUSDT,2025-12-19,2025-12-19T14:44:59.999Z,2025-12-19T15:19:59.999Z,0.13031,18088112,4.2x,0.13044031,0.13195,TIMEOUT,1.16
11,DOGEUSDT,2025-12-19,2025-12-19T23:04:59.999Z,2025-12-19T23:09:59.999Z,0.13256,2107972,3.8x,0.13269256,0.1313656344,LOSS,-1.00
12,DOGEUSDT,2026-01-02,2026-01-02T06:09:59.999Z,2026-01-02T08:14:59.999Z,0.12868,6781764,3.3x,0.12880867999999998,0.13396102719999997,WIN_FULL,4.00
13,DOGEUSDT,2026-01-02,2026-01-02T08:14:59.999Z,2026-01-02T09:44:59.999Z,0.12872,12536283,5.4x,0.12884872,0.1340026688,WIN_FULL,4.00
14,DOGEUSDT,2026-01-02,2026-01-02T09:14:59.999Z,2026-01-02T09:44:59.999Z,0.1294,12200313,5.4x,0.12952939999999996,0.13471057599999997,WIN_FULL,4.00
15,DOGEUSDT,2026-01-02,2026-01-02T09:44:59.999Z,2026-01-02T09:49:59.999Z,0.13067,16925138,4.8x,0.13080067,0.1321086767,WIN_LOCKED,1.00
16,DOGEUSDT,2026-01-02,2026-01-02T11:34:59.999Z,2026-01-02T13:24:59.999Z,0.13234,20458653,4.9x,0.13247234,0.1311476166,LOSS,-1.00
17,DOGEUSDT,2026-01-02,2026-01-02T11:44:59.999Z,2026-01-02T14:39:59.999Z,0.13145,42674096,5.0x,0.13158145,0.13684470799999998,WIN_FULL,4.00
