Symbol,Entry Date,Exit Date,Entry Price,Stop Loss,Take Profit,Exit Price,Risk %,Exit Reason,PnL %,PnL w/ Leverage,Trailing Level
NEARUSDT,2026-01-01T00:23:00.000Z,2026-01-01T00:24:00.000Z,1.516,1.515,1.5200000000000007,1.5200000000000007,0.066,Take Profit,0.264,2.64,2
NEARUSDT,2026-01-01T00:33:00.000Z,2026-01-01T00:39:00.000Z,1.527,1.523,1.5430000000000001,1.523,0.262,Stop Loss,-0.262,-2.62,0
DOGEUSDT,2026-01-01T08:17:00.000Z,2026-01-01T08:18:00.000Z,0.11779,0.11758,0.11863000000000003,0.11863000000000003,0.178,Take Profit,0.713,7.13,2
DOGEUSDT,2026-01-01T08:36:00.000Z,2026-01-01T08:41:00.000Z,0.1191,0.11902,0.11941999999999998,0.11918,0.067,Trailing SL (+1:1),0.067,0.67,2
DOGEUSDT,2026-01-01T08:58:00.000Z,2026-01-01T08:59:00.000Z,0.11982,0.11976,0.12005999999999996,0.12005999999999996,0.050,Take Profit,0.200,2.00,2
NEARUSDT,2026-01-01T09:20:00.000Z,2026-01-01T19:57:00.000Z,1.523,1.501,1.611,1.611,1.445,Take Profit,5.778,57.78,2
ETHUSDT,2026-01-01T14:01:00.000Z,2026-01-01T17:57:00.000Z,2980.59,2972.99,3010.990000000002,2988.1900000000005,0.255,Trailing SL (+1:1),0.255,2.55,2
DOGEUSDT,2026-01-01T15:41:00.000Z,2026-01-01T15:46:00.000Z,0.12108,0.12021,0.12455999999999998,0.12455999999999998,0.719,Take Profit,2.874,28.74,2
NEARUSDT,2026-01-01T20:00:00.000Z,2026-01-01T20:06:00.000Z,1.614,1.61,1.6300000000000003,1.61,0.248,Stop Loss,-0.248,-2.48,0
DOGEUSDT,2026-01-01T20:33:00.000Z,2026-01-02T09:49:00.000Z,0.1253,0.12363,0.13197999999999996,0.13197999999999996,1.333,Take Profit,5.331,53.31,2
NEARUSDT,2026-01-01T20:44:00.000Z,2026-01-01T22:19:00.000Z,1.61,1.599,1.6540000000000006,1.61,0.683,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-01T22:57:00.000Z,2026-01-02T01:50:00.000Z,1.616,1.607,1.6520000000000006,1.6520000000000006,0.557,Take Profit,2.228,22.28,2
ETHUSDT,2026-01-01T22:58:00.000Z,2026-01-02T03:38:00.000Z,2991.72,2985.15,3017.999999999999,3017.999999999999,0.220,Take Profit,0.878,8.78,2
NEARUSDT,2026-01-02T03:26:00.000Z,2026-01-02T07:25:00.000Z,1.649,1.636,1.7010000000000005,1.636,0.788,Stop Loss,-0.788,-7.88,0
ETHUSDT,2026-01-02T03:41:00.000Z,2026-01-02T03:43:00.000Z,3023.04,3018.5,3041.2000000000003,3023.04,0.150,Trailing SL (BE),0.000,0.00,1
ETHUSDT,2026-01-02T06:32:00.000Z,2026-01-02T07:51:00.000Z,3017.13,3009.02,3049.5700000000006,3017.13,0.269,Trailing SL (BE),0.000,0.00,1
ETHUSDT,2026-01-02T08:13:00.000Z,2026-01-02T09:10:00.000Z,3020.75,3015.95,3039.9500000000007,3039.9500000000007,0.159,Take Profit,0.636,6.36,2
NEARUSDT,2026-01-02T09:31:00.000Z,2026-01-02T11:06:00.000Z,1.636,1.628,1.6680000000000001,1.6439999999999997,0.489,Trailing SL (+1:1),0.489,4.89,2
ETHUSDT,2026-01-02T09:44:00.000Z,2026-01-02T10:07:00.000Z,3041.78,3036,3064.9000000000015,3064.9000000000015,0.190,Take Profit,0.760,7.60,2
DOGEUSDT,2026-01-02T10:50:00.000Z,2026-01-02T11:07:00.000Z,0.13305,0.13265,0.13465000000000005,0.13265,0.301,Stop Loss,-0.301,-3.01,0
DOGEUSDT,2026-01-02T11:30:00.000Z,2026-01-02T11:32:00.000Z,0.13225,0.13211,0.13281,0.13211,0.106,Stop Loss,-0.106,-1.06,0
NEARUSDT,2026-01-02T14:50:00.000Z,2026-01-02T15:04:00.000Z,1.643,1.63,1.6950000000000005,1.63,0.791,Stop Loss,-0.791,-7.91,0
NEARUSDT,2026-01-02T15:39:00.000Z,2026-01-02T15:40:00.000Z,1.627,1.623,1.643,1.643,0.246,Take Profit,0.983,9.83,2
NEARUSDT,2026-01-02T16:31:00.000Z,2026-01-03T03:54:00.000Z,1.648,1.632,1.712,1.712,0.971,Take Profit,3.883,38.83,2
NEARUSDT,2026-01-03T06:10:00.000Z,2026-01-03T06:41:00.000Z,1.707,1.695,1.7550000000000001,1.695,0.703,Stop Loss,-0.703,-7.03,0
NEARUSDT,2026-01-03T18:28:00.000Z,2026-01-04T01:30:00.000Z,1.697,1.68,1.7650000000000006,1.697,1.002,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-04T01:40:00.000Z,2026-01-04T01:42:00.000Z,1.699,1.698,1.7030000000000007,1.699,0.059,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-04T06:31:00.000Z,2026-01-04T08:02:00.000Z,1.7,1.692,1.732,1.7,0.471,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-04T10:58:00.000Z,2026-01-04T11:12:00.000Z,1.705,1.7,1.7250000000000005,1.7250000000000005,0.293,Take Profit,1.173,11.73,2
NEARUSDT,2026-01-04T11:36:00.000Z,2026-01-04T11:46:00.000Z,1.726,1.724,1.7340000000000002,1.726,0.116,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-04T12:01:00.000Z,2026-01-04T12:07:00.000Z,1.725,1.723,1.7329999999999999,1.723,0.116,Stop Loss,-0.116,-1.16,0
NEARUSDT,2026-01-05T01:07:00.000Z,2026-01-05T02:08:00.000Z,1.745,1.735,1.785,1.745,0.573,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-05T02:36:00.000Z,2026-01-05T03:39:00.000Z,1.749,1.744,1.7690000000000003,1.7690000000000003,0.286,Take Profit,1.144,11.44,2
NEARUSDT,2026-01-05T03:48:00.000Z,2026-01-05T04:14:00.000Z,1.771,1.763,1.803,1.7790000000000001,0.452,Trailing SL (+1:1),0.452,4.52,2
NEARUSDT,2026-01-05T04:54:00.000Z,2026-01-05T06:12:00.000Z,1.769,1.753,1.8330000000000002,1.753,0.904,Stop Loss,-0.904,-9.04,0
NEARUSDT,2026-01-05T06:41:00.000Z,2026-01-05T08:38:00.000Z,1.745,1.733,1.7930000000000001,1.733,0.688,Stop Loss,-0.688,-6.88,0
NEARUSDT,2026-01-05T15:32:00.000Z,2026-01-05T16:23:00.000Z,1.744,1.737,1.7719999999999996,1.751,0.401,Trailing SL (+1:1),0.401,4.01,2
NEARUSDT,2026-01-05T18:38:00.000Z,2026-01-05T19:33:00.000Z,1.765,1.761,1.7810000000000001,1.7810000000000001,0.227,Take Profit,0.907,9.07,2
NEARUSDT,2026-01-05T19:57:00.000Z,2026-01-05T20:48:00.000Z,1.771,1.762,1.8069999999999995,1.771,0.508,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-05T22:15:00.000Z,2026-01-06T00:34:00.000Z,1.771,1.754,1.8389999999999995,1.754,0.960,Stop Loss,-0.960,-9.60,0
NEARUSDT,2026-01-06T00:46:00.000Z,2026-01-06T01:01:00.000Z,1.752,1.746,1.776,1.776,0.342,Take Profit,1.370,13.70,2
NEARUSDT,2026-01-06T04:03:00.000Z,2026-01-06T05:15:00.000Z,1.778,1.773,1.7980000000000007,1.7830000000000001,0.281,Trailing SL (+1:1),0.281,2.81,2
NEARUSDT,2026-01-06T12:50:00.000Z,2026-01-06T14:48:00.000Z,1.825,1.813,1.873,1.813,0.658,Stop Loss,-0.658,-6.58,0
DOGEUSDT,2026-01-06T23:47:00.000Z,2026-01-07T00:25:00.000Z,0.15077,0.14982,0.1545699999999999,0.14982,0.630,Stop Loss,-0.630,-6.30,0
