Trade #,Symbol,Entry Date,Exit Date,Entry Price,Stop Loss,Take Profit,Exit Price,Risk %,Exit Reason,P&L %,P&L w/ Lev,Equity Before,Equity After,Equity Change
1,DOGEUSDT,2025-12-01T17:39:00.000Z,2025-12-01T18:30:00.000Z,0.13279,0.13243,0.13423,0.13315,0.2711,Trailing +1:1,0.2711,2.71,100.00,102.71,2.71
2,DOGEUSDT,2025-12-01T18:57:00.000Z,2025-12-01T19:24:00.000Z,0.13324,0.13268,0.13548000000000002,0.13268,0.4203,Stop Loss,-0.4203,-4.20,102.71,98.39,-4.32
3,NEARUSDT,2025-12-02T01:06:00.000Z,2025-12-02T04:00:00.000Z,1.613,1.6,1.6649999999999996,1.6649999999999996,0.8060,Take Profit,3.2238,32.24,98.39,130.11,31.72
4,DOGEUSDT,2025-12-02T10:42:00.000Z,2025-12-02T15:12:00.000Z,0.13631,0.13443,0.14382999999999996,0.14382999999999996,1.3792,Take Profit,5.5168,55.17,130.11,201.90,71.78
5,ETHUSDT,2025-12-02T15:42:00.000Z,2025-12-03T14:42:00.000Z,2968.97,2929.65,3126.249999999998,3126.249999999998,1.3244,Take Profit,5.2975,52.97,201.90,308.85,106.95
6,DOGEUSDT,2025-12-07T17:15:00.000Z,2025-12-07T21:42:00.000Z,0.13914,0.13818,0.14298000000000008,0.14010000000000003,0.6900,Trailing +1:1,0.6900,6.90,308.85,330.16,21.31
7,NEARUSDT,2025-12-08T07:03:00.000Z,2025-12-08T09:54:00.000Z,1.774,1.763,1.8180000000000005,1.774,0.6201,Trailing BE,0.0000,0.00,330.16,330.16,0.00
8,NEARUSDT,2025-12-08T10:45:00.000Z,2025-12-08T11:42:00.000Z,1.785,1.778,1.8129999999999995,1.778,0.3922,Stop Loss,-0.3922,-3.92,330.16,317.21,-12.95
9,ETHUSDT,2025-12-08T13:06:00.000Z,2025-12-08T14:36:00.000Z,3140.74,3123.3,3210.4999999999986,3140.74,0.5553,Trailing BE,0.0000,0.00,317.21,317.21,0.00
10,ETHUSDT,2025-12-10T17:18:00.000Z,2025-12-10T18:54:00.000Z,3376.6,3354.35,3465.6000000000004,3376.6,0.6589,Trailing BE,0.0000,0.00,317.21,317.21,0.00
11,DOGEUSDT,2025-12-10T19:00:00.000Z,2025-12-10T19:03:00.000Z,0.14707,0.14622,0.15047000000000008,0.14622,0.5780,Stop Loss,-0.5780,-5.78,317.21,298.88,-18.33
12,ETHUSDT,2025-12-10T20:18:00.000Z,2025-12-10T20:21:00.000Z,3441.78,3400,3608.9000000000005,3400,1.2139,Stop Loss,-1.2139,-12.14,298.88,262.60,-36.28
13,NEARUSDT,2025-12-18T21:00:00.000Z,2025-12-18T21:21:00.000Z,1.436,1.422,1.492,1.422,0.9749,Stop Loss,-0.9749,-9.75,262.60,237.00,-25.60
14,ETHUSDT,2025-12-19T03:51:00.000Z,2025-12-19T03:54:00.000Z,2924.32,2912.51,2971.5599999999995,2912.51,0.4039,Stop Loss,-0.4039,-4.04,237.00,227.43,-9.57
15,NEARUSDT,2025-12-19T04:06:00.000Z,2025-12-19T04:27:00.000Z,1.484,1.475,1.5199999999999994,1.475,0.6065,Stop Loss,-0.6065,-6.06,227.43,213.63,-13.79
16,NEARUSDT,2025-12-19T07:00:00.000Z,2025-12-19T19:33:00.000Z,1.479,1.461,1.5510000000000002,1.5510000000000002,1.2170,Take Profit,4.8682,48.68,213.63,317.63,104.00
17,DOGEUSDT,2025-12-21T03:15:00.000Z,2025-12-21T10:54:00.000Z,0.13116,0.13049,0.13384000000000001,0.13183,0.5108,Trailing +1:1,0.5108,5.11,317.63,333.86,16.23
18,ETHUSDT,2025-12-21T12:39:00.000Z,2025-12-21T12:42:00.000Z,2997.99,2986.05,3045.749999999998,2986.05,0.3983,Stop Loss,-0.3983,-3.98,333.86,320.56,-13.30
19,ETHUSDT,2025-12-22T00:12:00.000Z,2025-12-22T00:18:00.000Z,3016.59,3004.86,3063.51,3028.32,0.3888,Trailing +1:1,0.3888,3.89,320.56,333.03,12.47
20,DOGEUSDT,2025-12-22T01:03:00.000Z,2025-12-22T01:51:00.000Z,0.13207,0.13157,0.13407,0.13157,0.3786,Stop Loss,-0.3786,-3.79,333.03,320.42,-12.61
21,DOGEUSDT,2025-12-22T08:21:00.000Z,2025-12-22T15:36:00.000Z,0.13268,0.13151,0.13736,0.13268,0.8818,Trailing BE,0.0000,0.00,320.42,320.42,0.00
22,NEARUSDT,2025-12-27T16:00:00.000Z,2025-12-27T16:03:00.000Z,1.512,1.499,1.5639999999999996,1.5639999999999996,0.8598,Take Profit,3.4392,34.39,320.42,430.61,110.20
23,DOGEUSDT,2025-12-27T21:12:00.000Z,2025-12-27T22:33:00.000Z,0.12311,0.12264,0.12498999999999999,0.12358,0.3818,Trailing +1:1,0.3818,3.82,430.61,447.05,16.44
24,DOGEUSDT,2025-12-27T23:24:00.000Z,2025-12-27T23:39:00.000Z,0.1241,0.12391,0.12486,0.12391,0.1531,Stop Loss,-0.1531,-1.53,447.05,440.21,-6.84
25,DOGEUSDT,2026-01-01T09:00:00.000Z,2026-01-01T09:03:00.000Z,0.11683,0.11612,0.11967000000000001,0.11967000000000001,0.6077,Take Profit,2.4309,24.31,440.21,547.22,107.01
26,NEARUSDT,2026-01-01T13:39:00.000Z,2026-01-01T14:12:00.000Z,1.526,1.518,1.5579999999999998,1.5579999999999998,0.5242,Take Profit,2.0970,20.97,547.22,661.97,114.75
27,NEARUSDT,2026-01-01T15:42:00.000Z,2026-01-02T01:18:00.000Z,1.568,1.549,1.6440000000000006,1.6440000000000006,1.2117,Take Profit,4.8469,48.47,661.97,982.82,320.85
28,NEARUSDT,2026-01-02T10:24:00.000Z,2026-01-02T14:18:00.000Z,1.649,1.628,1.7330000000000005,1.628,1.2735,Stop Loss,-1.2735,-12.73,982.82,857.66,-125.16
29,ETHUSDT,2026-01-02T14:36:00.000Z,2026-01-02T15:24:00.000Z,3039.13,3020.79,3112.490000000001,3057.4700000000003,0.6035,Trailing +1:1,0.6035,6.03,857.66,909.42,51.76
30,DOGEUSDT,2026-01-04T19:03:00.000Z,2026-01-04T19:06:00.000Z,0.13623,0.13445,0.14335,0.14335,1.3066,Take Profit,5.2265,52.26,909.42,1384.72,475.30
31,ETHUSDT,2026-01-04T21:12:00.000Z,2026-01-04T23:48:00.000Z,3127.36,3118.98,3160.8800000000006,3135.7400000000002,0.2680,Trailing +1:1,0.2680,2.68,1384.72,1421.83,37.10
32,DOGEUSDT,2026-01-05T01:06:00.000Z,2026-01-05T04:30:00.000Z,0.15043,0.14884,0.15679000000000004,0.14884,1.0570,Stop Loss,-1.0570,-10.57,1421.83,1271.54,-150.28
33,DOGEUSDT,2026-01-05T16:18:00.000Z,2026-01-05T17:21:00.000Z,0.14909,0.14844,0.15169000000000005,0.14974,0.4360,Trailing +1:1,0.4360,4.36,1271.54,1326.98,55.44
34,NEARUSDT,2026-01-05T20:27:00.000Z,2026-01-05T21:30:00.000Z,1.738,1.722,1.802,1.754,0.9206,Trailing +1:1,0.9206,9.21,1326.98,1449.14,122.16
35,NEARUSDT,2026-01-05T22:27:00.000Z,2026-01-06T00:12:00.000Z,1.778,1.767,1.8220000000000007,1.767,0.6187,Stop Loss,-0.6187,-6.19,1449.14,1359.49,-89.65
36,DOGEUSDT,2026-01-06T00:51:00.000Z,2026-01-06T06:18:00.000Z,0.15089,0.1492,0.15764999999999998,0.15089,1.1200,Trailing BE,0.0000,0.00,1359.49,1359.49,0.00
37,DOGEUSDT,2026-01-06T12:54:00.000Z,2026-01-06T14:21:00.000Z,0.1515,0.15054,0.15533999999999998,0.15533999999999998,0.6337,Take Profit,2.5347,25.35,1359.49,1704.07,344.58
38,NEARUSDT,2026-01-13T17:27:00.000Z,2026-01-13T22:18:00.000Z,1.797,1.775,1.885,1.885,1.2243,Take Profit,4.8971,48.97,1704.07,2538.56,834.49
39,DOGEUSDT,2026-01-14T19:27:00.000Z,2026-01-15T00:33:00.000Z,0.14769,0.14628,0.15332999999999997,0.14628,0.9547,Stop Loss,-0.9547,-9.55,2538.56,2296.21,-242.36
40,NEARUSDT,2026-01-21T14:03:00.000Z,2026-01-21T16:33:00.000Z,1.513,1.5,1.5649999999999995,1.5259999999999998,0.8592,Trailing +1:1,0.8592,8.59,2296.21,2493.50,197.29
41,NEARUSDT,2026-01-26T12:18:00.000Z,2026-01-26T12:27:00.000Z,1.454,1.452,1.462,1.452,0.1376,Stop Loss,-0.1376,-1.38,2493.50,2459.20,-34.30
42,DOGEUSDT,2026-01-26T13:18:00.000Z,2026-01-26T14:09:00.000Z,0.12129,0.12104,0.12229,0.12129,0.2061,Trailing BE,0.0000,0.00,2459.20,2459.20,0.00
43,NEARUSDT,2026-01-26T14:33:00.000Z,2026-01-26T15:39:00.000Z,1.461,1.448,1.5130000000000003,1.461,0.8898,Trailing BE,0.0000,0.00,2459.20,2459.20,0.00
44,DOGEUSDT,2026-01-26T21:42:00.000Z,2026-01-27T13:48:00.000Z,0.12274,0.12147,0.12782000000000002,0.12147,1.0347,Stop Loss,-1.0347,-10.35,2459.20,2204.75,-254.46
45,NEARUSDT,2026-01-27T14:15:00.000Z,2026-01-27T14:18:00.000Z,1.452,1.45,1.46,1.46,0.1377,Take Profit,0.5510,5.51,2204.75,2326.22,121.47
46,DOGEUSDT,2026-01-27T15:09:00.000Z,2026-01-27T17:09:00.000Z,0.12254,0.12164,0.12613999999999997,0.12344,0.7345,Trailing +1:1,0.7345,7.34,2326.22,2497.07,170.85
47,DOGEUSDT,2026-01-27T20:18:00.000Z,2026-01-27T20:21:00.000Z,0.12413,0.12389,0.12509,0.12509,0.1933,Take Profit,0.7734,7.73,2497.07,2690.19,193.12
48,DOGEUSDT,2026-01-27T22:24:00.000Z,2026-01-28T00:36:00.000Z,0.12557,0.12511,0.12740999999999994,0.12557,0.3663,Trailing BE,0.0000,0.00,2690.19,2690.19,0.00
49,DOGEUSDT,2026-01-28T09:36:00.000Z,2026-01-28T15:18:00.000Z,0.12571,0.12393,0.13282999999999995,0.12393,1.4160,Stop Loss,-1.4160,-14.16,2690.19,2309.27,-380.92
50,DOGEUSDT,2026-01-28T16:30:00.000Z,2026-01-28T16:39:00.000Z,0.12513,0.1246,0.12724999999999995,0.1246,0.4236,Stop Loss,-0.4236,-4.24,2309.27,2211.46,-97.81
51,DOGEUSDT,2026-01-28T18:00:00.000Z,2026-01-29T01:24:00.000Z,0.12471,0.12372,0.12867000000000003,0.12372,0.7938,Stop Loss,-0.7938,-7.94,2211.46,2035.90,-175.55
