VOLUME IMBALANCE - 3 MINUTE CHART
Period: Dec 1 2025 - Jan 28 2026

Timeframe,3m
Max SL,1.5%
R:R Ratio,1:4

TRADE DETAILS
Trade,Symbol,Date,Entry,Support (SL),Risk %,Result,P&L %,Capital
1,ETHUSDT,2025-12-01,2832.0091799999996,2810.3867999999998,0.76,LOSS,-0.76,92.37
2,DOGEUSDT,2025-12-01,0.13781767999999997,0.13672314000000002,0.79,LOSS,-0.79,85.03
3,DOGEUSDT,2025-12-01,0.13732719,0.13657328999999999,0.55,LOSS,-0.55,80.36
4,DOGEUSDT,2025-12-01,0.13728714999999997,0.13680306,0.35,BREAKEVEN,0.00,80.36
5,ETHUSDT,2025-12-01,2841.84901,2827.00017,0.52,LOSS,-0.52,76.16
6,DOGEUSDT,2025-12-01,0.13542528999999998,0.13463523,0.58,LOSS,-0.58,71.72
7,DOGEUSDT,2025-12-01,0.13292278999999999,0.13229757,0.47,WIN_LOCKED,0.47,75.09
8,NEARUSDT,2025-12-01,1.6266249999999998,1.6163820000000002,0.63,WIN_FULL,2.52,94.01
9,NEARUSDT,2025-12-02,1.6576559999999998,1.6513470000000001,0.38,WIN_FULL,1.52,108.32
10,DOGEUSDT,2025-12-02,0.13571558,0.13429557,1.05,WIN_FULL,4.19,153.65
11,ETHUSDT,2025-12-02,2912.4094999999998,2881.08603,1.08,WIN_FULL,4.30,219.76
12,DOGEUSDT,2025-12-03,0.14743729,0.14658327,0.58,WIN_FULL,2.32,270.67
13,NEARUSDT,2025-12-03,1.8288269999999998,1.820178,0.47,BREAKEVEN,0.00,270.67
14,DOGEUSDT,2025-12-03,0.15054038999999997,0.14965019999999998,0.59,LOSS,-0.59,254.67
15,ETHUSDT,2025-12-03,3057.14409,3040.70625,0.54,BREAKEVEN,0.00,254.67
16,ETHUSDT,2025-12-03,3057.6946399999997,3027.38958,0.99,BREAKEVEN,0.00,254.67
17,DOGEUSDT,2025-12-03,0.14891877,0.1482516,0.45,WIN_FULL,1.79,300.30
18,NEARUSDT,2025-12-03,1.8128109999999997,1.8031949999999999,0.53,WIN_FULL,2.12,364.02
19,DOGEUSDT,2025-12-03,0.15257242,0.15160824,0.63,LOSS,-0.63,341.02
20,ETHUSDT,2025-12-03,3190.1869999999994,3164.14269,0.82,LOSS,-0.82,313.18
21,ETHUSDT,2025-12-04,3177.9647899999995,3151.40544,0.84,LOSS,-0.84,287.00
22,DOGEUSDT,2025-12-04,0.14975961,0.14766219,1.40,LOSS,-1.40,246.81
23,DOGEUSDT,2025-12-04,0.14779764999999997,0.14700285,0.54,LOSS,-0.54,233.54
24,ETHUSDT,2025-12-05,3172.3691999999996,3148.848,0.74,LOSS,-0.74,216.22
25,NEARUSDT,2025-12-05,1.7707689999999998,1.760238,0.59,LOSS,-0.59,203.36
26,ETHUSDT,2025-12-05,3137.84471,3107.24964,0.98,LOSS,-0.98,183.53
27,DOGEUSDT,2025-12-05,0.14262247999999997,0.14167818000000001,0.66,BREAKEVEN,0.00,183.53
28,NEARUSDT,2025-12-05,1.6746729999999999,1.666332,0.50,BREAKEVEN,0.00,183.53
29,NEARUSDT,2025-12-06,1.684683,1.67832,0.38,BREAKEVEN,0.00,183.53
30,NEARUSDT,2025-12-06,1.6756739999999997,1.670328,0.32,LOSS,-0.32,177.68
31,NEARUSDT,2025-12-06,1.6736719999999998,1.6683299999999999,0.32,WIN_FULL,1.28,200.36
32,NEARUSDT,2025-12-06,1.6896879999999999,1.682316,0.44,WIN_FULL,1.75,235.33
33,DOGEUSDT,2025-12-06,0.13965951999999998,0.13928058,0.27,BREAKEVEN,0.00,235.33
34,DOGEUSDT,2025-12-06,0.13976962999999998,0.13888098000000001,0.64,LOSS,-0.64,220.37
