Trade #,Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Quantity,Position Value,Gross P&L,Entry Fee,Exit Fee,Total Fees,Net P&L,Net P&L %,Equity Before,Equity After,Duration Candles,Exit Reason
1,DOGEUSDT,2025-12-01T17:39:00.000Z,2025-12-01T18:30:00.000Z,0.13279,0.13315,7530.687552,1000.00,2.7110,0.5000,0.5014,1.0014,1.7097,1.7097,100.00,101.71,17,Trailing +1:1
2,DOGEUSDT,2025-12-01T18:57:00.000Z,2025-12-01T19:24:00.000Z,0.13324,0.13268,7633.570399,1017.10,-4.2748,0.5085,0.5064,1.0150,-5.2898,-5.2008,101.71,96.42,9,Stop Loss
3,NEARUSDT,2025-12-02T01:06:00.000Z,2025-12-02T04:00:00.000Z,1.613,1.6649999999999996,597.767719,964.20,31.0839,0.4821,0.4976,0.9797,30.1042,31.2219,96.42,126.52,58,Take Profit
4,DOGEUSDT,2025-12-02T10:42:00.000Z,2025-12-02T15:12:00.000Z,0.13631,0.14382999999999996,9282.085917,1265.24,69.8013,0.6326,0.6675,1.3001,68.5011,54.1408,126.52,195.03,90,Take Profit
5,ETHUSDT,2025-12-02T15:42:00.000Z,2025-12-03T14:42:00.000Z,2968.97,3126.249999999998,0.656879,1950.25,103.3139,0.9751,1.0268,2.0019,101.3119,51.9481,195.03,296.34,460,Take Profit
6,DOGEUSDT,2025-12-07T17:15:00.000Z,2025-12-07T21:42:00.000Z,0.13914,0.14010000000000003,21297.771972,2963.37,20.4459,1.4817,1.4919,2.9736,17.4723,5.8961,296.34,313.81,89,Trailing +1:1
7,NEARUSDT,2025-12-08T07:03:00.000Z,2025-12-08T09:54:00.000Z,1.774,1.774,1768.937234,3138.09,0.0000,1.5690,1.5690,3.1381,-3.1381,-1.0000,313.81,310.67,57,Trailing BE
8,NEARUSDT,2025-12-08T10:45:00.000Z,2025-12-08T11:42:00.000Z,1.785,1.778,1740.455858,3106.71,-12.1832,1.5534,1.5473,3.1006,-15.2838,-4.9196,310.67,295.39,19,Stop Loss
9,ETHUSDT,2025-12-08T13:06:00.000Z,2025-12-08T14:36:00.000Z,3140.74,3140.74,0.940503,2953.88,0.0000,1.4769,1.4769,2.9539,-2.9539,-1.0000,295.39,292.43,30,Trailing BE
10,ETHUSDT,2025-12-10T17:18:00.000Z,2025-12-10T18:54:00.000Z,3376.6,3376.6,0.866060,2924.34,0.0000,1.4622,1.4622,2.9243,-2.9243,-1.0000,292.43,289.51,32,Trailing BE
11,DOGEUSDT,2025-12-10T19:00:00.000Z,2025-12-10T19:03:00.000Z,0.14707,0.14622,19685.139404,2895.09,-16.7324,1.4475,1.4392,2.8867,-19.6191,-6.7767,289.51,269.89,1,Stop Loss
12,ETHUSDT,2025-12-10T20:18:00.000Z,2025-12-10T20:21:00.000Z,3441.78,3400,0.784159,2698.90,-32.7622,1.3495,1.3331,2.6825,-35.4447,-13.1330,269.89,234.45,1,Stop Loss
