ATR-BASED VOLUME IMBALANCE STRATEGY
Period: Nov 1 2025 - Jan 28 2026 (3 months)

FORMULA:
Reference Candle,Volume >= 3x average of last 5 candles
Day Range Filter,Day Range >= X * ATR (where X is multiplier)
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,1% below entry
Take Profit,4% above entry
Trailing,At +2% SL->BE | At +3% SL->+1%

ATR MULTIPLIER COMPARISON
ATR Mult,Total Setups,Executed Trades,Wins,Locked,Breakeven,Losses,Win Rate,Profit Rate,Final Capital,Return
1,1837,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
1.5,1828,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
2,1814,234,33,21,24,151,14.1%,23.1%,$9.40,-90.6%
2.5,1803,233,33,21,24,150,14.2%,23.2%,$10.45,-89.6%
3,1783,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
3.5,1766,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
4,1752,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%

BEST MULTIPLIER: 2.5x ATR

TRADE DETAILS (Best Multiplier)
Trade,Symbol,Date,Day Range (ATR),Entry Price,Exit Price,Result,P&L %,Capital
1,NEARUSDT,2025-11-01,5.32,2.1191169999999997,2.1403081699999995,WIN_LOCKED,1.00,110.00
2,ETHUSDT,2025-11-02,20.07,3866.0321699999995,3827.3718482999993,LOSS,-1.00,99.00
3,ETHUSDT,2025-11-03,22.52,3727.5338099999994,3690.258471899999,LOSS,-1.00,89.10
4,NEARUSDT,2025-11-03,19.82,2.0420399999999996,2.0216195999999997,LOSS,-1.00,80.19
5,ETHUSDT,2025-11-03,22.35,3703.4697699999997,3666.4350723,LOSS,-1.00,72.17
6,DOGEUSDT,2025-11-04,5.13,0.16917900999999996,0.16748721989999996,LOSS,-1.00,64.95
7,NEARUSDT,2025-11-04,20.11,1.8898879999999998,1.8898879999999998,BREAKEVEN,0.00,64.95
8,DOGEUSDT,2025-11-04,13.52,0.15854838999999998,0.1569629061,LOSS,-1.00,58.46
9,DOGEUSDT,2025-11-04,11.25,0.15676660999999997,0.15519894389999997,LOSS,-1.00,52.61
10,DOGEUSDT,2025-11-04,12.96,0.15716701,0.1634536904,WIN_FULL,4.00,73.66
11,ETHUSDT,2025-11-05,21.80,3326.61329,3293.3471570999995,LOSS,-1.00,66.29
12,NEARUSDT,2025-11-05,17.69,1.8678659999999998,1.9425806399999999,WIN_FULL,4.00,92.81
13,ETHUSDT,2025-11-05,32.82,3459.3158599999997,3424.7227013999996,LOSS,-1.00,83.53
14,NEARUSDT,2025-11-05,25.43,1.9439419999999998,1.9245025799999997,LOSS,-1.00,75.18
15,DOGEUSDT,2025-11-06,10.46,0.16390374,0.16226470259999998,LOSS,-1.00,67.66
16,DOGEUSDT,2025-11-06,10.79,0.16361345,0.1619773155,LOSS,-1.00,60.89
17,NEARUSDT,2025-11-06,15.88,2.086084,2.06522316,LOSS,-1.00,54.80
18,DOGEUSDT,2025-11-07,2.89,0.16325309,0.16325309,BREAKEVEN,0.00,54.80
19,DOGEUSDT,2025-11-07,9.27,0.16211195,0.16859642800000002,WIN_FULL,4.00,76.72
20,NEARUSDT,2025-11-08,9.02,2.7867839999999995,2.7589161599999996,LOSS,-1.00,69.05
21,ETHUSDT,2025-11-08,6.19,3460.8674099999994,3426.2587358999995,LOSS,-1.00,62.15
22,ETHUSDT,2025-11-08,9.52,3441.77834,3407.3605565999997,LOSS,-1.00,55.93
23,ETHUSDT,2025-11-08,13.66,3409.9265199999995,3375.8272547999995,LOSS,-1.00,50.34
24,NEARUSDT,2025-11-08,45.66,2.8828799999999997,2.9117087999999995,WIN_LOCKED,1.00,55.37
25,ETHUSDT,2025-11-09,9.19,3388.8754899999994,3524.4305095999994,WIN_FULL,4.00,77.52
26,NEARUSDT,2025-11-09,20.41,2.8498469999999996,2.96384088,WIN_FULL,4.00,108.53
27,DOGEUSDT,2025-11-09,23.99,0.17857839999999997,0.18572153599999996,WIN_FULL,4.00,151.94
28,NEARUSDT,2025-11-10,11.06,2.9999969999999996,2.9999969999999996,BREAKEVEN,0.00,151.94
29,NEARUSDT,2025-11-10,19.54,2.8828799999999997,2.8540512,LOSS,-1.00,136.75
30,ETHUSDT,2025-11-10,16.47,3596.97338,3561.0036462,LOSS,-1.00,123.07
31,ETHUSDT,2025-11-10,9.92,3532.96944,3568.2991343999997,WIN_LOCKED,1.00,135.38
32,DOGEUSDT,2025-11-11,5.70,0.18127108999999997,0.17945837909999995,LOSS,-1.00,121.84
33,ETHUSDT,2025-11-11,10.70,3559.3558,3523.762242,LOSS,-1.00,109.66
34,ETHUSDT,2025-11-11,11.74,3518.4949799999995,3483.3100301999993,LOSS,-1.00,98.69
35,DOGEUSDT,2025-11-11,28.28,0.17333316,0.1715998284,LOSS,-1.00,88.82
36,NEARUSDT,2025-11-12,4.26,2.5885859999999994,2.5627001399999996,LOSS,-1.00,79.94
37,ETHUSDT,2025-11-12,7.63,3449.3459,3587.319736,WIN_FULL,4.00,111.92
38,NEARUSDT,2025-11-12,12.06,2.619617,2.59342083,LOSS,-1.00,100.72
39,NEARUSDT,2025-11-12,20.19,2.517515,2.54269015,WIN_LOCKED,1.00,110.80
40,NEARUSDT,2025-11-13,16.99,2.557555,2.5319794499999997,LOSS,-1.00,99.72
41,DOGEUSDT,2025-11-13,21.69,0.17636619,0.17460252810000002,LOSS,-1.00,89.75
42,ETHUSDT,2025-11-13,31.99,3216.6534399999996,3184.4869056,LOSS,-1.00,80.77
43,NEARUSDT,2025-11-14,10.80,2.3763739999999998,2.3763739999999998,BREAKEVEN,0.00,80.77
44,DOGEUSDT,2025-11-14,10.53,0.16323306999999998,0.1616007393,LOSS,-1.00,72.69
45,DOGEUSDT,2025-11-14,9.40,0.16053037,0.1589250663,LOSS,-1.00,65.42
46,ETHUSDT,2025-11-14,8.79,3131.6885599999996,3163.0054456,WIN_LOCKED,1.00,71.97
47,DOGEUSDT,2025-11-15,4.19,0.16044028,0.16044028,BREAKEVEN,0.00,71.97
48,DOGEUSDT,2025-11-16,5.64,0.16208192,0.16208192,BREAKEVEN,0.00,71.97
49,ETHUSDT,2025-11-16,12.79,3158.8356799999997,3127.2473231999998,LOSS,-1.00,64.77
50,NEARUSDT,2025-11-16,31.45,2.2702679999999997,2.2475653199999996,LOSS,-1.00,58.29
51,DOGEUSDT,2025-11-16,14.97,0.15825809999999998,0.15984068099999998,WIN_LOCKED,1.00,64.12
52,DOGEUSDT,2025-11-17,19.72,0.16319303,0.1615610997,LOSS,-1.00,57.71
53,NEARUSDT,2025-11-17,5.60,2.257255,2.27982755,WIN_LOCKED,1.00,63.48
54,DOGEUSDT,2025-11-17,9.65,0.15700684999999998,0.15543678149999998,LOSS,-1.00,57.13
55,NEARUSDT,2025-11-17,14.75,2.214212,2.2363541199999997,WIN_LOCKED,1.00,62.85
56,DOGEUSDT,2025-11-18,5.92,0.15271256,0.15118543439999999,LOSS,-1.00,56.56
57,DOGEUSDT,2025-11-18,5.54,0.15227211999999998,0.15836300479999998,WIN_FULL,4.00,79.19
58,ETHUSDT,2025-11-18,11.75,3091.67859,3091.67859,BREAKEVEN,0.00,79.19
59,NEARUSDT,2025-11-19,5.45,2.3002979999999997,2.2772950199999995,LOSS,-1.00,71.27
60,ETHUSDT,2025-11-19,9.60,3063.0599999999995,3032.4293999999995,LOSS,-1.00,64.14
61,DOGEUSDT,2025-11-19,17.45,0.15801785999999998,0.15643768139999997,LOSS,-1.00,57.73
62,NEARUSDT,2025-11-19,10.72,2.2072049999999996,2.2954931999999997,WIN_FULL,4.00,80.82
63,NEARUSDT,2025-11-20,2.57,2.396394,2.3724300599999997,LOSS,-1.00,72.74
64,NEARUSDT,2025-11-20,9.09,2.3793769999999994,2.3555832299999993,LOSS,-1.00,65.46
65,NEARUSDT,2025-11-20,13.34,2.349347,2.32585353,LOSS,-1.00,58.92
66,DOGEUSDT,2025-11-20,19.71,0.15312296999999997,0.15159174029999997,LOSS,-1.00,53.02
67,DOGEUSDT,2025-11-21,4.01,0.14933918999999998,0.14784579809999998,LOSS,-1.00,47.72
68,DOGEUSDT,2025-11-21,8.31,0.14677663,0.14530886369999998,LOSS,-1.00,42.95
69,DOGEUSDT,2025-11-21,21.80,0.13766753,0.1390442053,WIN_LOCKED,1.00,47.25
70,DOGEUSDT,2025-11-21,18.84,0.14093078999999997,0.13952148209999998,LOSS,-1.00,42.52
71,DOGEUSDT,2025-11-21,24.91,0.13971957999999998,0.13832238419999998,LOSS,-1.00,38.27
72,NEARUSDT,2025-11-22,6.00,1.8998979999999996,1.8808990199999995,LOSS,-1.00,34.44
73,DOGEUSDT,2025-11-22,5.83,0.13979966,0.13840166339999999,LOSS,-1.00,31.00
74,DOGEUSDT,2025-11-22,7.13,0.13952938999999998,0.13813409609999996,LOSS,-1.00,27.90
75,DOGEUSDT,2025-11-22,10.47,0.13776762999999997,0.13638995369999998,LOSS,-1.00,25.11
