VOLUME IMBALANCE STRATEGY - NOVEMBER 2025

BACKTESTING MODE (10%+ daily range filter)
Trade,Symbol,Date,Entry Time,Entry Price,Exit Price,Result,P&L %,Capital Before,Capital After
1,NEARUSDT,2025-11-03,2025-11-03T09:09:59.999Z,2.0420399999999996,2.0216195999999997,LOSS,-1.00,100.00,90.00
2,DOGEUSDT,2025-11-03,2025-11-03T11:09:59.999Z,0.17380363,0.1720655937,LOSS,-1.00,90.00,81.00
3,DOGEUSDT,2025-11-04,2025-11-04T03:04:59.999Z,0.16917900999999996,0.16748721989999996,LOSS,-1.00,81.00,72.90
4,NEARUSDT,2025-11-04,2025-11-04T14:34:59.999Z,1.8898879999999998,1.8898879999999998,BREAKEVEN,0.00,72.90,72.90
5,DOGEUSDT,2025-11-04,2025-11-04T20:39:59.999Z,0.15854838999999998,0.1569629061,LOSS,-1.00,72.90,65.61
6,DOGEUSDT,2025-11-04,2025-11-04T21:49:59.999Z,0.15676660999999997,0.15519894389999997,LOSS,-1.00,65.61,59.05
7,DOGEUSDT,2025-11-04,2025-11-04T21:59:59.999Z,0.15716701,0.1634536904,WIN_FULL,4.00,59.05,82.67
8,NEARUSDT,2025-11-05,2025-11-05T08:04:59.999Z,1.8568549999999997,1.8382864499999998,LOSS,-1.00,82.67,74.40
9,NEARUSDT,2025-11-05,2025-11-05T11:59:59.999Z,1.8678659999999998,1.9425806399999999,WIN_FULL,4.00,74.40,104.16
10,NEARUSDT,2025-11-05,2025-11-05T23:24:59.999Z,1.9439419999999998,1.9245025799999997,LOSS,-1.00,104.16,93.75
11,NEARUSDT,2025-11-06,2025-11-06T13:39:59.999Z,1.9239219999999997,2.0008788799999997,WIN_FULL,4.00,93.75,131.24
12,NEARUSDT,2025-11-06,2025-11-06T13:49:59.999Z,2.0300279999999997,2.00972772,LOSS,-1.00,131.24,118.12
13,NEARUSDT,2025-11-06,2025-11-06T22:19:59.999Z,2.086084,2.06522316,LOSS,-1.00,118.12,106.31
14,DOGEUSDT,2025-11-07,2025-11-07T02:49:59.999Z,0.16287270999999998,0.16287270999999998,BREAKEVEN,0.00,106.31,106.31
15,DOGEUSDT,2025-11-07,2025-11-07T14:44:59.999Z,0.16211195,0.16859642800000002,WIN_FULL,4.00,106.31,148.83
16,NEARUSDT,2025-11-08,2025-11-08T02:44:59.999Z,2.7867839999999995,2.7589161599999996,LOSS,-1.00,148.83,133.95
