VOLUME IMBALANCE WITH SUPPORT-BASED STOP-LOSS
Period: Dec 1 2025 - Jan 28 2026

STRATEGY RULES
Reference Candle,Volume >= 3x of last 5 candles
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,At consolidation low (support)
Max SL,1.5%
Take Profit,Risk x 4
Trailing,At 2:1 SL->BE | At 3:1 SL->+1:1

TRADE DETAILS
Trade,Symbol,Date,Entry Price,Support (SL),Risk %,TP,Result,P&L %,Capital
1,ETHUSDT,2025-12-01,2844.66182,2831.5656,0.46,2897.0467,LOSS,-0.46,95.40
2,ETHUSDT,2025-12-01,2842.6097699999996,2834.73243,0.28,2874.1191299999973,LOSS,-0.28,92.75
3,DOGEUSDT,2025-12-01,0.13543529999999998,0.13463523,0.59,0.1386355799999999,LOSS,-0.59,87.27
4,DOGEUSDT,2025-12-01,0.13292278999999999,0.13197789000000001,0.71,0.13670238999999987,WIN_FULL,2.84,112.09
5,NEARUSDT,2025-12-02,1.646645,1.632366,0.87,1.7037609999999994,WIN_FULL,3.47,150.97
6,NEARUSDT,2025-12-02,1.700699,1.680318,1.20,1.782223,WIN_FULL,4.79,223.34
7,DOGEUSDT,2025-12-03,0.14640625999999998,0.1456542,0.51,0.14941449999999987,WIN_FULL,2.05,269.23
8,DOGEUSDT,2025-12-03,0.14960946,0.14887098,0.49,0.15256337999999994,WIN_LOCKED,0.49,282.51
9,DOGEUSDT,2025-12-03,0.14906892,0.14772213,0.90,0.15445607999999994,LOSS,-0.90,256.99
10,DOGEUSDT,2025-12-03,0.15061046,0.14998986,0.41,0.15309286,WIN_FULL,1.65,299.35
11,DOGEUSDT,2025-12-04,0.15324309,0.15161823,1.06,0.15974253000000002,LOSS,-1.06,267.61
12,NEARUSDT,2025-12-04,1.8728709999999997,1.8481500000000002,1.32,1.971754999999998,LOSS,-1.32,232.29
13,NEARUSDT,2025-12-04,1.8668649999999998,1.8501480000000001,0.90,1.9337329999999984,LOSS,-0.90,211.48
14,DOGEUSDT,2025-12-04,0.14975961,0.14766219,1.40,0.15814928999999994,LOSS,-1.40,181.87
15,NEARUSDT,2025-12-04,1.7967949999999997,1.783215,0.76,1.8511149999999985,LOSS,-0.76,168.12
16,ETHUSDT,2025-12-05,3172.3691999999996,3148.848,0.74,3266.4539999999984,LOSS,-0.74,155.66
17,NEARUSDT,2025-12-05,1.7717699999999998,1.760238,0.65,1.8178979999999991,LOSS,-0.65,145.52
18,ETHUSDT,2025-12-05,3134.0409099999997,3107.24964,0.85,3241.2059899999986,LOSS,-0.85,133.08
19,DOGEUSDT,2025-12-05,0.14395381,0.14280705,0.80,0.14854084999999997,LOSS,-0.80,122.48
20,DOGEUSDT,2025-12-05,0.14264249999999998,0.14167818000000001,0.68,0.14649977999999983,BREAKEVEN,0.00,122.48
21,NEARUSDT,2025-12-05,1.708707,1.686312,1.31,1.7982869999999997,LOSS,-1.31,106.43
22,DOGEUSDT,2025-12-06,0.1397396,0.13911075,0.45,0.14225499999999994,LOSS,-0.45,101.64
23,NEARUSDT,2025-12-06,1.6756739999999997,1.6683299999999999,0.44,1.7050499999999988,WIN_FULL,1.75,119.46
24,NEARUSDT,2025-12-06,1.708707,1.701297,0.43,1.7383469999999996,WIN_FULL,1.73,140.18
25,DOGEUSDT,2025-12-06,0.13971957999999998,0.13912074,0.43,0.14211493999999994,LOSS,-0.43,134.17
26,DOGEUSDT,2025-12-06,0.13976962999999998,0.13888098000000001,0.64,0.1433242299999998,LOSS,-0.64,125.64
27,NEARUSDT,2025-12-07,1.6956939999999998,1.6833150000000001,0.73,1.7452099999999986,LOSS,-0.73,116.47
28,ETHUSDT,2025-12-07,2982.48951,2947.95909,1.16,3120.6111900000005,WIN_FULL,4.63,170.41
29,NEARUSDT,2025-12-07,1.7197179999999999,1.696302,1.36,1.8133819999999994,BREAKEVEN,0.00,170.41
30,NEARUSDT,2025-12-08,1.7257239999999998,1.703295,1.30,1.8154399999999988,WIN_LOCKED,1.30,192.55
31,ETHUSDT,2025-12-09,3112.2291199999995,3087.7092000000002,0.79,3210.308799999996,WIN_FULL,3.15,253.24
32,DOGEUSDT,2025-12-09,0.14584569999999997,0.14404581000000002,1.23,0.15304525999999974,WIN_FULL,4.94,378.25
33,DOGEUSDT,2025-12-10,0.14726711999999997,0.14636349,0.61,0.1508816399999998,LOSS,-0.61,355.04
34,DOGEUSDT,2025-12-10,0.14655641,0.14591394,0.44,0.14912629000000002,LOSS,-0.44,339.47
35,DOGEUSDT,2025-12-10,0.14690676,0.14556429,0.91,0.15227663999999994,LOSS,-0.91,308.45
36,DOGEUSDT,2025-12-10,0.14575560999999998,0.14504481000000002,0.49,0.1485988099999998,LOSS,-0.49,293.41
37,DOGEUSDT,2025-12-10,0.14646631999999998,0.14485499999999998,1.10,0.15291159999999998,LOSS,-1.10,261.13
38,NEARUSDT,2025-12-10,1.7507489999999999,1.73826,0.71,1.8007049999999998,WIN_FULL,2.85,335.64
39,ETHUSDT,2025-12-10,3445.22178,3394.4022,1.48,3648.5000999999993,LOSS,-1.48,286.13
40,NEARUSDT,2025-12-11,1.6866849999999998,1.6753230000000001,0.67,1.7321329999999984,LOSS,-0.67,266.86
41,NEARUSDT,2025-12-11,1.6576559999999998,1.6463519999999998,0.68,1.7028719999999997,LOSS,-0.68,248.66
42,DOGEUSDT,2025-12-11,0.13825811999999998,0.13644342,1.31,0.14551691999999988,LOSS,-1.31,216.02
43,ETHUSDT,2025-12-11,3182.9797999999996,3151.845,0.98,3307.518999999999,BREAKEVEN,0.00,216.02
44,NEARUSDT,2025-12-12,1.619618,1.607391,0.75,1.668526,WIN_FULL,3.02,281.25
45,NEARUSDT,2025-12-13,1.6516499999999996,1.641357,0.62,1.6928219999999985,WIN_LOCKED,0.62,298.78
46,DOGEUSDT,2025-12-13,0.13924911,0.13872114000000002,0.38,0.14136098999999996,LOSS,-0.38,287.45
47,NEARUSDT,2025-12-13,1.6576559999999998,1.6513470000000001,0.38,1.6828919999999985,LOSS,-0.38,276.51
48,NEARUSDT,2025-12-13,1.6556539999999997,1.637361,1.10,1.7288259999999982,LOSS,-1.10,245.96
49,DOGEUSDT,2025-12-14,0.13832819,0.13739247000000002,0.68,0.14207106999999988,LOSS,-0.68,229.32
50,DOGEUSDT,2025-12-14,0.13777764,0.13668318,0.79,0.14215548000000008,LOSS,-0.79,211.11
51,DOGEUSDT,2025-12-14,0.13702688999999998,0.13559427,1.05,0.14275736999999997,LOSS,-1.05,189.04
52,ETHUSDT,2025-12-14,3098.7556599999994,3067.4295,1.01,3224.060299999996,LOSS,-1.01,169.93
53,DOGEUSDT,2025-12-14,0.13434421,0.13329657,0.78,0.13853476999999997,LOSS,-0.78,156.67
54,NEARUSDT,2025-12-15,1.6076059999999999,1.600398,0.45,1.6364379999999994,WIN_FULL,1.79,184.77
55,NEARUSDT,2025-12-15,1.6306289999999999,1.625373,0.32,1.6516529999999996,LOSS,-0.32,178.82
56,DOGEUSDT,2025-12-15,0.13723709999999997,0.13587399,0.99,0.14268953999999986,LOSS,-0.99,161.06
57,NEARUSDT,2025-12-15,1.54154,1.532466,0.59,1.5778359999999991,LOSS,-0.59,151.58
58,NEARUSDT,2025-12-16,1.5365349999999998,1.516482,1.31,1.6167469999999984,LOSS,-1.31,131.79
59,NEARUSDT,2025-12-16,1.5285269999999997,1.521477,0.46,1.5567269999999989,WIN_LOCKED,0.46,137.87
60,ETHUSDT,2025-12-16,2965.4624999999996,2935.0719900000004,1.02,3087.0245399999967,LOSS,-1.02,123.74
61,DOGEUSDT,2025-12-16,0.13180166999999998,0.12986001,1.47,0.13956830999999992,LOSS,-1.47,105.51
62,NEARUSDT,2025-12-17,1.535534,1.526472,0.59,1.5717819999999996,BREAKEVEN,0.00,105.51
63,DOGEUSDT,2025-12-17,0.13115101999999998,0.12929058000000002,1.42,0.13859277999999983,BREAKEVEN,0.00,105.51
64,NEARUSDT,2025-12-18,1.4714699999999998,1.4595390000000001,0.81,1.5191939999999986,LOSS,-0.81,96.96
65,NEARUSDT,2025-12-18,1.4634619999999998,1.450548,0.88,1.5151179999999995,WIN_FULL,3.53,131.18
66,NEARUSDT,2025-12-18,1.4374359999999997,1.420578,1.17,1.504867999999999,LOSS,-1.17,115.80
67,DOGEUSDT,2025-12-19,0.12124112,0.12043944,0.66,0.12444784,WIN_FULL,2.64,146.42
68,DOGEUSDT,2025-12-19,0.12616604,0.12566421000000003,0.40,0.12817335999999993,WIN_FULL,1.59,169.72
69,ETHUSDT,2025-12-19,2981.8488699999994,2964.27276,0.59,3052.1533099999974,LOSS,-0.59,159.72
70,DOGEUSDT,2025-12-19,0.12838826,0.12779208,0.46,0.13077298,WIN_LOCKED,0.46,167.13
71,DOGEUSDT,2025-12-19,0.13269256,0.1321677,0.40,0.13479199999999994,LOSS,-0.40,160.52
72,DOGEUSDT,2025-12-20,0.13120106999999998,0.13059927000000002,0.46,0.1336082699999998,BREAKEVEN,0.00,160.52
73,NEARUSDT,2025-12-21,1.4994979999999998,1.4925059999999999,0.47,1.5274659999999995,WIN_FULL,1.87,190.46
74,DOGEUSDT,2025-12-21,0.13255242,0.13150836000000002,0.79,0.13672865999999995,LOSS,-0.79,175.46
75,NEARUSDT,2025-12-21,1.5175159999999999,1.5114869999999998,0.40,1.5416320000000003,LOSS,-0.40,168.49
76,DOGEUSDT,2025-12-21,0.13170157,0.13008978000000002,1.22,0.1381487299999999,LOSS,-1.22,147.87
77,DOGEUSDT,2025-12-21,0.12938926,0.12886101,0.41,0.13150226000000004,BREAKEVEN,0.00,147.87
78,DOGEUSDT,2025-12-21,0.13001989,0.12899088,0.79,0.13413593,WIN_FULL,3.17,194.68
79,DOGEUSDT,2025-12-22,0.13194181,0.13119867,0.56,0.13491437,WIN_LOCKED,0.56,205.65
80,DOGEUSDT,2025-12-22,0.13362348999999998,0.13239747000000002,0.92,0.13852756999999985,LOSS,-0.92,186.78
81,DOGEUSDT,2025-12-23,0.13297284,0.13221765,0.57,0.13599360000000008,LOSS,-0.57,176.17
82,NEARUSDT,2025-12-23,1.488487,1.482516,0.40,1.5123709999999997,LOSS,-0.40,169.10
83,ETHUSDT,2025-12-23,2952.20926,2919.4776,1.11,3083.1358999999998,LOSS,-1.11,150.35
84,ETHUSDT,2025-12-23,2947.8348899999996,2937.02004,0.37,2991.0942899999986,WIN_LOCKED,0.37,155.87
85,DOGEUSDT,2025-12-23,0.12973960999999998,0.12913074000000002,0.47,0.1321750899999998,LOSS,-0.47,148.56
86,DOGEUSDT,2025-12-24,0.13005992999999996,0.12950037,0.43,0.1322981699999998,LOSS,-0.43,142.16
87,ETHUSDT,2025-12-24,2931.1281999999997,2914.20288,0.58,2998.829479999999,LOSS,-0.58,133.96
88,DOGEUSDT,2025-12-24,0.12859847,0.12667319999999999,1.50,0.13629955000000002,LOSS,-1.50,113.90
89,NEARUSDT,2025-12-25,1.4864849999999998,1.476522,0.67,1.5263369999999996,BREAKEVEN,0.00,113.90
90,NEARUSDT,2025-12-25,1.489488,1.482516,0.47,1.5173759999999996,BREAKEVEN,0.00,113.90
91,NEARUSDT,2025-12-26,1.4574559999999999,1.450548,0.47,1.4850879999999995,WIN_FULL,1.90,135.49
92,NEARUSDT,2025-12-26,1.500499,1.479519,1.40,1.5844189999999998,BREAKEVEN,0.00,135.49
93,ETHUSDT,2025-12-26,2922.9800599999994,2904.07302,0.65,2998.608219999998,TIMEOUT,0.86,147.14
94,NEARUSDT,2025-12-28,1.5925909999999999,1.5864120000000002,0.39,1.6173069999999987,LOSS,-0.39,141.43
95,DOGEUSDT,2025-12-28,0.12406393999999998,0.12355632,0.41,0.12609441999999993,LOSS,-0.41,135.65
96,DOGEUSDT,2025-12-28,0.12410397999999999,0.12336651,0.59,0.12705385999999994,LOSS,-0.59,127.59
97,ETHUSDT,2025-12-28,2937.2242899999997,2925.9611099999997,0.38,2982.2770099999993,WIN_FULL,1.53,147.16
98,DOGEUSDT,2025-12-29,0.12609596999999997,0.12531456,0.62,0.1292216099999999,BREAKEVEN,0.00,147.16
99,ETHUSDT,2025-12-29,2966.5635999999995,2956.5405,0.34,3006.655999999997,LOSS,-0.34,142.19
100,ETHUSDT,2025-12-29,2941.10817,2914.1629199999998,0.92,3048.889170000001,LOSS,-0.92,129.16
101,DOGEUSDT,2025-12-29,0.12355342999999998,0.12260727,0.77,0.1273380699999999,LOSS,-0.77,119.27
102,ETHUSDT,2025-12-29,2942.2593199999997,2927.97909,0.49,2999.380239999999,LOSS,-0.49,113.48
103,ETHUSDT,2025-12-30,2936.39346,2920.55652,0.54,2999.7412199999985,LOSS,-0.54,107.36
104,ETHUSDT,2025-12-30,2942.7898499999997,2916.52056,0.89,3047.8670099999986,WIN_LOCKED,0.89,116.94
105,NEARUSDT,2025-12-31,1.4874859999999999,1.477521,0.67,1.527345999999999,WIN_FULL,2.68,148.28
106,DOGEUSDT,2026-01-01,0.11857845999999998,0.11814174000000001,0.37,0.12032533999999989,LOSS,-0.37,142.82
107,DOGEUSDT,2026-01-01,0.11864852999999999,0.11784204,0.68,0.12187448999999996,WIN_FULL,2.72,181.65
108,ETHUSDT,2026-01-01,2985.94296,2974.76226,0.37,3030.6657599999994,WIN_FULL,1.50,208.86
109,NEARUSDT,2026-01-02,1.6456439999999997,1.635363,0.62,1.686767999999999,LOSS,-0.62,195.81
110,DOGEUSDT,2026-01-02,0.12880867999999998,0.12759228,0.94,0.1336742799999999,WIN_FULL,3.78,269.77
111,ETHUSDT,2026-01-02,3058.055,3037.24971,0.68,3141.2761599999994,LOSS,-0.68,251.42
